id_subcategoria,subcategoria
1,Panteones
2,Deportivos
3,Camellones centrales y laterales
4,Unidades habitacionales
5,Instituciones académicas públicas
6,Plazas
7,Asistencia Social con vegetación CDMX
8,Parques
9,"Veg. Arbórea, arbustiva y herbácea de glorietas"
10,Vialidades
11,Instituciones académicas privadas
12,Arboledas
13,Instituciones de salud pub/priv
14,Jardines públicos
15,Canales
16,Jardineras públicas y privadas
17,Azoteas verdes
18,Bordos
19,Terrenos baldíos
20,AVA
21,Depresiones orográficas
22,ANP
23,Alamedas
24,Promontorios
25,Colinas
26,Cerros
27,Zona de recarga de manto acuíferos
